Rank,Country,Score,Value,Percentage Rank,S/W
1,Finland,64.9,-,1.00,•
2,"Korea, Republic of",64.8,-,0.99,•
3,Denmark,62.4,-,0.99,•
4,Sweden,61.7,-,0.98,•
5,Singapore,60.9,-,0.97,
6,Switzerland,59.2,-,0.96,
7,United Kingdom,57.5,-,0.96,
8,Austria,57.4,-,0.95,•
9,Australia,57.0,-,0.94,
10,Germany,56.6,-,0.94,
11,Israel,55.9,-,0.93,
12,France,55.5,-,0.92,•
13,Japan,55.0,-,0.91,
14,United States of America,54.0,-,0.91,
15,United Arab Emirates,53.9,-,0.90,
16,New Zealand,52.9,-,0.89,
17,Netherlands,51.7,-,0.89,
18,Belgium,51.4,-,0.88,
19,Hong Kong (China),50.2,-,0.87,
20,Ireland,50.1,-,0.86,
21,Norway,49.9,-,0.86,
22,Canada,49.0,-,0.85,
23,Iceland,48.8,-,0.84,
24,Slovenia,48.3,-,0.84,
25,Portugal,47.6,-,0.83,
26,Russian Federation,47.5,-,0.82,
27,Spain,45.9,-,0.81,
28,Greece,45.9,-,0.81,
29,Czech Republic,45.8,-,0.80,
30,Estonia,44.2,-,0.79,
31,China,43.1,-,0.79,
32,Belarus,43.0,-,0.78,•
33,Italy,41.3,-,0.77,
34,Luxembourg,40.8,-,0.76,
35,Cyprus,40.6,-,0.76,
36,Ukraine,40.4,-,0.75,
37,Malaysia,39.9,-,0.74,
38,Bosnia and Herzegovina,39.9,-,0.74,•
39,Saudi Arabia,39.9,-,0.73,
40,Malta,39.3,-,0.72,
41,Lithuania,39.1,-,0.71,
42,Lebanon,38.1,-,0.71,
43,Hungary,37.7,-,0.70,
44,Argentina,37.7,-,0.69,
45,Poland,37.2,-,0.69,
46,"Iran, Islamic Republic of",37.1,-,0.68,•
47,Croatia,36.9,-,0.67,
48,Tunisia,36.7,-,0.66,
49,Montenegro,35.9,-,0.66,
50,Turkey,35.9,-,0.65,
51,Qatar,35.3,-,0.64,
52,Mexico,34.4,-,0.64,
53,Slovakia,33.2,-,0.63,
54,Latvia,33.1,-,0.62,
55,TFYR Macedonia,32.7,-,0.61,
56,Morocco,32.6,-,0.61,
57,Chile,32.3,-,0.60,
58,Bulgaria,32.2,-,0.59,
59,Colombia,31.2,-,0.59,
60,Thailand,31.1,-,0.58,
61,Fiji,30.6,-,0.57,
62,Barbados,30.5,-,0.56,
63,Brazil,30.1,-,0.56,
64,Serbia,30.1,-,0.55,
65,"Venezuela, Bolivarian Republic of",29.7,-,0.54,
66,Kazakhstan,29.6,-,0.54,
67,Uruguay,29.3,-,0.53,
68,Oman,29.1,-,0.52,
69,Trinidad and Tobago,28.8,-,0.51,
70,Kyrgyzstan,28.7,-,0.51,
71,Bahrain,28.4,-,0.50,
72,Egypt,27.9,-,0.49,
73,Romania,27.8,-,0.49,
74,"Moldova, Republic of",27.6,-,0.48,
75,South Africa,27.4,-,0.47,
76,Uzbekistan,27.0,-,0.46,
77,Peru,26.8,-,0.46,
78,Viet Nam,26.6,-,0.45,
79,Mongolia,26.4,-,0.44,
80,Costa Rica,26.3,-,0.44,
81,Jordan,26.3,-,0.43,
82,Algeria,26.2,-,0.42,•
83,Panama,26.2,-,0.41,
84,"Bolivia, Plurinational State of",25.9,-,0.41,
85,Lesotho,25.6,-,0.40,
86,Tajikistan,25.5,-,0.39,
87,Indonesia,24.3,-,0.39,
88,Seychelles,24.2,-,0.38,
89,Kuwait,24.1,-,0.37,
