Rank,Country,Score,Value,Percentage Rank,S/W
1,Finland,95.8,-,1.00,•
2,Singapore,95.5,-,0.99,•
3,Norway,94.0,-,0.99,•
4,Denmark,93.1,-,0.98,•
5,New Zealand,93.0,-,0.97,•
6,Canada,92.7,-,0.96,•
7,Netherlands,91.9,-,0.96,
8,Hong Kong (China),91.3,-,0.95,
9,Sweden,90.0,-,0.94,
10,Switzerland,89.6,-,0.94,
11,Australia,89.3,-,0.93,
12,Austria,88.7,-,0.92,•
13,Iceland,87.8,-,0.91,
14,United Kingdom,87.3,-,0.91,
15,Ireland,87.2,-,0.90,
16,United States of America,86.8,-,0.89,
17,Japan,86.5,-,0.89,
18,Luxembourg,83.5,-,0.88,
19,Belgium,83.3,-,0.87,
20,Germany,83.2,-,0.86,
21,France,81.7,-,0.86,
22,Estonia,80.8,-,0.85,
23,Mauritius,80.7,-,0.84,
24,Malta,80.7,-,0.84,
25,Portugal,80.6,-,0.83,
26,United Arab Emirates,80.3,-,0.82,
27,Barbados,79.8,-,0.81,
28,Cyprus,79.8,-,0.81,
29,Slovenia,79.5,-,0.80,
30,Qatar,77.7,-,0.79,
31,Latvia,77.7,-,0.79,
32,Czech Republic,76.4,-,0.78,
33,"Korea, Republic of",76.2,-,0.77,
34,Poland,75.3,-,0.76,
35,Spain,75.2,-,0.76,
36,Slovakia,75.1,-,0.75,
37,Chile,73.8,-,0.74,
38,Italy,73.8,-,0.74,
39,Lithuania,73.6,-,0.73,
40,Hungary,73.4,-,0.72,
41,Croatia,71.8,-,0.71,
42,Malaysia,71.7,-,0.71,
43,South Africa,71.6,-,0.70,
44,Oman,70.9,-,0.69,
45,Bulgaria,69.7,-,0.69,
46,Romania,69.7,-,0.68,
47,Montenegro,69.5,-,0.67,
48,Botswana,69.0,-,0.66,
49,Seychelles,68.7,-,0.66,
50,Uruguay,68.3,-,0.65,
51,Georgia,68.2,-,0.64,
52,Greece,68.2,-,0.64,
53,Namibia,67.9,-,0.63,
54,Israel,67.9,-,0.62,
55,TFYR Macedonia,67.7,-,0.61,
56,Costa Rica,67.3,-,0.61,
57,Armenia,67.0,-,0.60,
58,Bahrain,65.3,-,0.59,
59,Jamaica,63.5,-,0.59,
60,Mongolia,63.4,-,0.58,
61,Rwanda,63.2,-,0.57,
62,Trinidad and Tobago,63.0,-,0.56,
63,Bhutan,62.8,-,0.56,•
64,Serbia,62.2,-,0.55,
65,Jordan,62.2,-,0.54,
66,Mexico,61.5,-,0.54,
67,Kazakhstan,61.4,-,0.53,
68,Saudi Arabia,60.4,-,0.52,
69,Peru,60.4,-,0.51,
70,Albania,60.1,-,0.51,
71,Bosnia and Herzegovina,59.6,-,0.50,
72,Tunisia,59.5,-,0.49,
73,Panama,59.4,-,0.49,
74,Lesotho,59.3,-,0.48,•
75,"Moldova, Republic of",59.0,-,0.47,
76,Kuwait,58.7,-,0.46,
77,Colombia,58.2,-,0.46,
78,Morocco,57.6,-,0.45,
79,Cabo Verde,57.6,-,0.44,
80,Russian Federation,56.5,-,0.44,
81,Azerbaijan,56.2,-,0.43,
82,Swaziland,56.2,-,0.42,
83,"Tanzania, United Republic of",56.1,-,0.41,
84,Turkey,55.8,-,0.41,
85,Brazil,55.8,-,0.40,
86,El Salvador,55.5,-,0.39,
87,Guyana,54.4,-,0.39,
88,Fiji,54.4,-,0.38,
89,Senegal,54.3,-,0.37,
90,Uganda,54.3,-,0.36,
91,China,54.0,-,0.36,
92,Thailand,53.6,-,0.35,
93,Dominican Republic,53.3,-,0.34,
94,Belarus,53.2,-,0.34,
95,Lebanon,53.1,-,0.33,
96,Kenya,52.7,-,0.32,
97,Burkina Faso,52.4,-,0.31,
98,Ukraine,52.3,-,0.31,
99,Madagascar,52.0,-,0.30,
100,Nicaragua,51.9,-,0.29,
101,Viet Nam,51.9,-,0.29,
102,Philippines,51.8,-,0.28,
103,Malawi,51.6,-,0.27,
104,India,50.0,-,0.26,
105,Kyrgyzstan,49.4,-,0.26,
106,Uzbekistan,49.0,-,0.25,
107,Zambia,48.8,-,0.24,
108,Cambodia,48.4,-,0.24,
109,Ghana,48.3,-,0.23,
110,Guatemala,48.2,-,0.22,
111,Argentina,48.0,-,0.21,
112,Paraguay,47.9,-,0.21,
113,Côte d'Ivoire,47.7,-,0.20,
114,Gambia,47.2,-,0.19,
115,Togo,47.1,-,0.19,
116,Mozambique,46.8,-,0.18,
117,Ethiopia,46.5,-,0.17,
118,Burundi,46.4,-,0.16,
119,Niger,45.1,-,0.16,
120,Algeria,45.1,-,0.15,
121,Nepal,45.1,-,0.14,
122,Mali,45.0,-,0.14,
123,Honduras,44.7,-,0.13,º
124,Ecuador,44.5,-,0.12,
125,Cameroon,44.5,-,0.11,
126,"Iran, Islamic Republic of",44.3,-,0.11,
127,Tajikistan,42.7,-,0.10,
128,Sri Lanka,41.7,-,0.09,º
129,Bangladesh,40.9,-,0.09,
130,Indonesia,39.8,-,0.08,º
131,Egypt,39.5,-,0.07,º
132,Guinea,39.3,-,0.06,
133,Nigeria,39.2,-,0.06,
134,Pakistan,37.1,-,0.05,º
135,Angola,35.2,-,0.04,
136,Yemen,34.9,-,0.04,º
137,Myanmar,33.4,-,0.03,
138,Sudan,32.5,-,0.02,º
139,"Bolivia, Plurinational State of",30.9,-,0.01,º
140,Zimbabwe,25.9,-,0.01,º
141,"Venezuela, Bolivarian Republic of",17.0,-,0.00,º
142,Gabon,0.0,-,0.00,
142,Syrian Arab Republic,0.0,-,0.00,
142,Iraq,0.0,-,0.00,
142,Suriname,0.0,-,0.00,
142,Belize,0.0,-,0.00,
142,Tonga,0.0,-,0.00,
142,Afghanistan,0.0,-,0.00,
142,Chad,0.0,-,0.00,
142,Mauritania,0.0,-,0.00,
142,Haiti,0.0,-,0.00,
142,Isle of Man,0.0,-,0.00,
142,Channel Islands,0.0,-,0.00,
142,Gibraltar,0.0,-,0.00,
142,Sierra Leone,0.0,-,0.00,
142,Djibouti,0.0,-,0.00,
142,Saint Lucia,0.0,-,0.00,
142,Antigua and Barbuda,0.0,-,0.00,
142,Central African Republic,0.0,-,0.00,
142,"Congo, Democratic Republic of the",0.0,-,0.00,
142,Papua New Guinea,0.0,-,0.00,
142,Saint Vincent and the Grenadines,0.0,-,0.00,
142,Congo,0.0,-,0.00,
142,Samoa,0.0,-,0.00,
142,Eritrea,0.0,-,0.00,
142,Solomon Islands,0.0,-,0.00,
142,Vanuatu,0.0,-,0.00,
142,Guinea Bissau,0.0,-,0.00,
142,Liberia,0.0,-,0.00,
142,Maldives,0.0,-,0.00,
142,Saint Kitts and Nevis,0.0,-,0.00,
142,Timor-Leste,0.0,-,0.00,
142,Grenada,0.0,-,0.00,
142,Libya,0.0,-,0.00,
142,Bahamas,0.0,-,0.00,
142,Dominica,0.0,-,0.00,
142,Sao Tome and Principe,0.0,-,0.00,
142,Comoros,0.0,-,0.00,
142,Cuba,0.0,-,0.00,
142,Bermuda,0.0,-,0.00,
142,Kiribati,0.0,-,0.00,
142,Puerto Rico,0.0,-,0.00,
142,Aruba,0.0,-,0.00,
142,Macao,0.0,-,0.00,
142,Equatorial Guinea,0.0,-,0.00,
142,"Palestinian Territory, Occupied",0.0,-,0.00,
142,San Marino,0.0,-,0.00,
142,Turkmenistan,0.0,-,0.00,
142,Palau,0.0,-,0.00,
142,"Micronesia, Federated States of",0.0,-,0.00,
142,Liechtenstein,0.0,-,0.00,
142,Marshall Islands,0.0,-,0.00,
142,"Taiwan, Province of China",0.0,-,0.00,
142,South Sudan,0.0,-,0.00,
142,Andorra,0.0,-,0.00,
142,"Korea, Democratic People's Republic of",0.0,-,0.00,
142,Somalia,0.0,-,0.00,
142,Netherlands Antilles,0.0,-,0.00,
142,French Polynesia,0.0,-,0.00,
142,Monaco,0.0,-,0.00,
142,New Caledonia,0.0,-,0.00,
142,Anguilla,0.0,-,0.00,
142,Cook Islands,0.0,-,0.00,
142,Montserrat,0.0,-,0.00,
142,Tuvalu,0.0,-,0.00,
142,Cayman Islands,0.0,-,0.00,
142,Faroe Islands,0.0,-,0.00,
142,Guam,0.0,-,0.00,
142,Nauru,0.0,-,0.00,
142,Réunion,0.0,-,0.00,
142,"Virgin Islands, British",0.0,-,0.00,
142,"Virgin Islands, U.S.",0.0,-,0.00,
142,French Guiana,0.0,-,0.00,
142,Kosovo,0.0,-,0.00,
142,Martinique,0.0,-,0.00,
142,Curaçao,0.0,-,0.00,
142,American Samoa,0.0,-,0.00,
142,Greenland,0.0,-,0.00,
142,Sint Maarten (Dutch part),0.0,-,0.00,
142,Turks and Caicos Islands,0.0,-,0.00,
142,Northern Mariana Islands,0.0,-,0.00,
142,Tokelau,0.0,-,0.00,
142,Saint Martin (French part),0.0,-,0.00,
142,Sudan (pre-secession),0.0,-,0.00,
142,Mayotte,0.0,-,0.00,
142,Holy See (Vatican City State),0.0,-,0.00,
142,Jersey,0.0,-,0.00,
142,Niue,0.0,-,0.00,
