Rank,Country,Score,Value,Percentage Rank,S/W
1,United States of America,81.5,-,1.00,•
2,Hong Kong (China),79.0,-,0.99,•
3,United Kingdom,74.3,-,0.99,•
4,Canada,73.5,-,0.98,•
5,Switzerland,72.3,-,0.97,
6,Singapore,71.6,-,0.96,
7,Denmark,68.3,-,0.96,
8,New Zealand,67.6,-,0.95,
9,Australia,66.7,-,0.94,
10,Spain,64.7,-,0.94,•
11,Cyprus,64.3,-,0.93,•
12,Japan,64.3,-,0.92,
13,Ireland,64.0,-,0.91,
14,Sweden,63.7,-,0.91,
15,Mauritius,63.7,-,0.90,•
16,"Korea, Republic of",63.3,-,0.89,
17,Netherlands,61.8,-,0.89,
18,Bosnia and Herzegovina,61.6,-,0.88,•
19,Finland,61.5,-,0.87,
20,Cambodia,60.6,-,0.86,•
21,Israel,60.5,-,0.86,
22,Germany,59.2,-,0.85,
23,South Africa,59.1,-,0.84,•
24,Albania,59.1,-,0.84,•
25,France,59.0,-,0.83,
26,Rwanda,58.4,-,0.82,•
27,Malaysia,58.0,-,0.81,
28,Peru,56.6,-,0.81,•
29,Norway,56.5,-,0.80,
30,Austria,56.5,-,0.79,
31,Luxembourg,56.2,-,0.79,
32,Belarus,56.1,-,0.78,•
33,Mongolia,56.0,-,0.77,
34,Portugal,55.4,-,0.76,
35,Belgium,54.9,-,0.76,
36,Armenia,54.7,-,0.75,
37,Estonia,54.6,-,0.74,
38,Colombia,53.7,-,0.74,
39,Italy,53.6,-,0.73,
40,Tajikistan,53.3,-,0.72,•
41,Thailand,53.3,-,0.71,
42,Georgia,52.8,-,0.71,
43,Iceland,52.7,-,0.70,
44,Latvia,52.4,-,0.69,
45,Czech Republic,52.4,-,0.69,
46,TFYR Macedonia,52.3,-,0.68,
47,Azerbaijan,52.0,-,0.67,•
48,Lithuania,51.9,-,0.66,
49,Greece,51.2,-,0.66,
50,Montenegro,51.0,-,0.65,
51,Chile,50.9,-,0.64,
52,"Moldova, Republic of",50.6,-,0.64,
53,Slovakia,50.4,-,0.63,
54,Malta,50.3,-,0.62,
55,Saudi Arabia,50.3,-,0.61,
56,Kyrgyzstan,49.8,-,0.61,
57,Dominican Republic,49.6,-,0.60,•
58,Turkey,49.5,-,0.59,
59,China,49.3,-,0.59,
60,Poland,49.0,-,0.58,
61,Bulgaria,48.9,-,0.57,
62,Guatemala,48.3,-,0.56,
63,Bhutan,48.2,-,0.56,•
64,Honduras,48.1,-,0.55,
65,United Arab Emirates,48.1,-,0.54,
66,Ecuador,47.7,-,0.54,
67,Viet Nam,47.4,-,0.53,
68,Croatia,47.1,-,0.52,
69,Mexico,47.0,-,0.51,
70,Slovenia,46.9,-,0.51,
71,Bahrain,46.8,-,0.50,
72,India,46.5,-,0.49,
73,"Bolivia, Plurinational State of",46.4,-,0.49,
74,Jamaica,46.3,-,0.48,
75,Senegal,46.1,-,0.47,
76,Mozambique,46.0,-,0.46,
77,Hungary,46.0,-,0.46,
78,Qatar,45.9,-,0.45,
79,Togo,45.6,-,0.44,•
80,Paraguay,45.5,-,0.44,
81,Romania,45.3,-,0.43,
82,Morocco,45.1,-,0.42,
83,Zambia,45.0,-,0.41,
84,Sri Lanka,44.9,-,0.41,
85,Uzbekistan,44.4,-,0.40,
86,Indonesia,44.4,-,0.39,
87,Brazil,44.3,-,0.39,
88,El Salvador,44.1,-,0.38,
89,Ukraine,43.9,-,0.37,
90,Serbia,43.9,-,0.36,
91,Botswana,43.9,-,0.36,
92,Panama,43.8,-,0.35,
93,Kuwait,43.7,-,0.34,
94,Russian Federation,43.5,-,0.34,
95,Trinidad and Tobago,43.5,-,0.33,
96,Kazakhstan,43.4,-,0.32,
97,Burkina Faso,42.9,-,0.31,
98,Kenya,42.9,-,0.31,
99,Burundi,42.7,-,0.30,
100,Lebanon,42.4,-,0.29,
101,Philippines,42.1,-,0.29,
102,Cabo Verde,41.9,-,0.28,
103,Madagascar,41.8,-,0.27,
104,Nicaragua,41.6,-,0.26,
105,Barbados,41.5,-,0.26,
106,Mali,41.2,-,0.25,
107,Lesotho,41.1,-,0.24,
108,Oman,40.7,-,0.24,
109,Zimbabwe,40.7,-,0.23,
110,Cameroon,40.6,-,0.22,
111,Niger,40.4,-,0.21,
112,Namibia,39.9,-,0.21,
113,Swaziland,39.6,-,0.20,
114,Malawi,39.2,-,0.19,
115,Bangladesh,39.0,-,0.19,
116,Uganda,38.9,-,0.18,
117,Uruguay,38.9,-,0.17,º
118,Jordan,38.9,-,0.16,º
119,Fiji,38.7,-,0.16,º
