"Country","Score","Coefficient","Year","Region","nr.Coefficient","group.Coefficient"
"Bhutan",67.5,"Political environment",2015,"Central_and_Southern_Asia",1.1,"Institutions"
"Sri Lanka",42.1,"Political environment",2015,"Central_and_Southern_Asia",1.1,"Institutions"
"Kazakhstan",40.8,"Political environment",2015,"Central_and_Southern_Asia",1.1,"Institutions"
"India",35.5,"Political environment",2015,"Central_and_Southern_Asia",1.1,"Institutions"
"Uzbekistan",33.3,"Political environment",2015,"Central_and_Southern_Asia",1.1,"Institutions"
"Kyrgyzstan",32.1,"Political environment",2015,"Central_and_Southern_Asia",1.1,"Institutions"
"Iran, Islamic Republic of",27.7,"Political environment",2015,"Central_and_Southern_Asia",1.1,"Institutions"
"Nepal",26.1,"Political environment",2015,"Central_and_Southern_Asia",1.1,"Institutions"
"Tajikistan",24.2,"Political environment",2015,"Central_and_Southern_Asia",1.1,"Institutions"
"Bangladesh",21.8,"Political environment",2015,"Central_and_Southern_Asia",1.1,"Institutions"
"Pakistan",9.9,"Political environment",2015,"Central_and_Southern_Asia",1.1,"Institutions"
"Bhutan",67.9,"Regulatory environment",2015,"Central_and_Southern_Asia",1.2,"Institutions"
"Kazakhstan",66.3,"Regulatory environment",2015,"Central_and_Southern_Asia",1.2,"Institutions"
"India",62.4,"Regulatory environment",2015,"Central_and_Southern_Asia",1.2,"Institutions"
"Kyrgyzstan",54.9,"Regulatory environment",2015,"Central_and_Southern_Asia",1.2,"Institutions"
"Tajikistan",51,"Regulatory environment",2015,"Central_and_Southern_Asia",1.2,"Institutions"
"Uzbekistan",45.7,"Regulatory environment",2015,"Central_and_Southern_Asia",1.2,"Institutions"
"Pakistan",44.3,"Regulatory environment",2015,"Central_and_Southern_Asia",1.2,"Institutions"
"Nepal",44.1,"Regulatory environment",2015,"Central_and_Southern_Asia",1.2,"Institutions"
"Iran, Islamic Republic of",42.4,"Regulatory environment",2015,"Central_and_Southern_Asia",1.2,"Institutions"
"Bangladesh",39.4,"Regulatory environment",2015,"Central_and_Southern_Asia",1.2,"Institutions"
"Sri Lanka",21,"Regulatory environment",2015,"Central_and_Southern_Asia",1.2,"Institutions"
"Kazakhstan",77.2,"Business environment",2015,"Central_and_Southern_Asia",1.3,"Institutions"
"Uzbekistan",67.9,"Business environment",2015,"Central_and_Southern_Asia",1.3,"Institutions"
"Nepal",65,"Business environment",2015,"Central_and_Southern_Asia",1.3,"Institutions"
"Iran, Islamic Republic of",62.8,"Business environment",2015,"Central_and_Southern_Asia",1.3,"Institutions"
"Sri Lanka",61.9,"Business environment",2015,"Central_and_Southern_Asia",1.3,"Institutions"
"Bangladesh",61.6,"Business environment",2015,"Central_and_Southern_Asia",1.3,"Institutions"
"Kyrgyzstan",61.3,"Business environment",2015,"Central_and_Southern_Asia",1.3,"Institutions"
"Pakistan",57.2,"Business environment",2015,"Central_and_Southern_Asia",1.3,"Institutions"
"Bhutan",52.9,"Business environment",2015,"Central_and_Southern_Asia",1.3,"Institutions"
"Tajikistan",52.8,"Business environment",2015,"Central_and_Southern_Asia",1.3,"Institutions"
"India",52.2,"Business environment",2015,"Central_and_Southern_Asia",1.3,"Institutions"
"Kyrgyzstan",55.5,"Education",2015,"Central_and_Southern_Asia",2.1,"Human capital and research"
"Uzbekistan",55.2,"Education",2015,"Central_and_Southern_Asia",2.1,"Human capital and research"
"Kazakhstan",50.9,"Education",2015,"Central_and_Southern_Asia",2.1,"Human capital and research"
"Bhutan",45,"Education",2015,"Central_and_Southern_Asia",2.1,"Human capital and research"
"Tajikistan",43.4,"Education",2015,"Central_and_Southern_Asia",2.1,"Human capital and research"
"Iran, Islamic Republic of",35.5,"Education",2015,"Central_and_Southern_Asia",2.1,"Human capital and research"
"Nepal",31.4,"Education",2015,"Central_and_Southern_Asia",2.1,"Human capital and research"
"Sri Lanka",30.5,"Education",2015,"Central_and_Southern_Asia",2.1,"Human capital and research"
"India",26.8,"Education",2015,"Central_and_Southern_Asia",2.1,"Human capital and research"
"Bangladesh",20.7,"Education",2015,"Central_and_Southern_Asia",2.1,"Human capital and research"
"Pakistan",20.4,"Education",2015,"Central_and_Southern_Asia",2.1,"Human capital and research"
"Iran, Islamic Republic of",61.8,"Tertiary education",2015,"Central_and_Southern_Asia",2.2,"Human capital and research"
"Tajikistan",32,"Tertiary education",2015,"Central_and_Southern_Asia",2.2,"Human capital and research"
"Kyrgyzstan",28.9,"Tertiary education",2015,"Central_and_Southern_Asia",2.2,"Human capital and research"
"Uzbekistan",22.6,"Tertiary education",2015,"Central_and_Southern_Asia",2.2,"Human capital and research"
"Kazakhstan",21.8,"Tertiary education",2015,"Central_and_Southern_Asia",2.2,"Human capital and research"
"Sri Lanka",19.4,"Tertiary education",2015,"Central_and_Southern_Asia",2.2,"Human capital and research"
"Bangladesh",17.3,"Tertiary education",2015,"Central_and_Southern_Asia",2.2,"Human capital and research"
"Nepal",13.2,"Tertiary education",2015,"Central_and_Southern_Asia",2.2,"Human capital and research"
"India",10.5,"Tertiary education",2015,"Central_and_Southern_Asia",2.2,"Human capital and research"
"Pakistan",7.8,"Tertiary education",2015,"Central_and_Southern_Asia",2.2,"Human capital and research"
"Bhutan",7.4,"Tertiary education",2015,"Central_and_Southern_Asia",2.2,"Human capital and research"
"India",22.6,"Research and development (R&D)",2015,"Central_and_Southern_Asia",2.3,"Human capital and research"
"Kazakhstan",16.1,"Research and development (R&D)",2015,"Central_and_Southern_Asia",2.3,"Human capital and research"
"Iran, Islamic Republic of",14,"Research and development (R&D)",2015,"Central_and_Southern_Asia",2.3,"Human capital and research"
"Pakistan",10.2,"Research and development (R&D)",2015,"Central_and_Southern_Asia",2.3,"Human capital and research"
"Bangladesh",5.6,"Research and development (R&D)",2015,"Central_and_Southern_Asia",2.3,"Human capital and research"
