Rank,Country,Score,Value,Percentage Rank,S/W
1,Singapore,69.5,-,1.00,•
2,Hong Kong (China),66.5,-,0.99,•
3,Norway,64.8,-,0.99,•
4,Australia,63.7,-,0.98,•
5,Japan,63.1,-,0.97,•
6,United Kingdom,63.0,-,0.96,•
7,Sweden,62.8,-,0.96,
8,"Korea, Republic of",62.4,-,0.95,
9,Spain,61.0,-,0.94,•
10,Estonia,60.9,-,0.94,•
11,Canada,60.9,-,0.93,
12,France,60.8,-,0.92,•
13,Netherlands,60.5,-,0.91,
14,United States of America,58.8,-,0.91,
15,Switzerland,58.6,-,0.90,
16,Finland,58.5,-,0.89,
17,Italy,57.6,-,0.89,•
18,Germany,56.7,-,0.88,
19,United Arab Emirates,56.7,-,0.87,
20,New Zealand,56.3,-,0.86,
21,Denmark,55.7,-,0.86,
22,Qatar,55.5,-,0.85,
23,Austria,55.2,-,0.84,
24,Ireland,54.9,-,0.84,
25,Luxembourg,54.2,-,0.83,
26,Israel,54.1,-,0.82,
27,Bahrain,52.5,-,0.81,
28,Belgium,52.5,-,0.81,
29,Iceland,51.8,-,0.80,
30,Czech Republic,51.0,-,0.79,
31,Latvia,50.6,-,0.79,
32,China,50.5,-,0.78,
33,Portugal,50.3,-,0.77,
34,Saudi Arabia,50.3,-,0.76,
35,Chile,50.0,-,0.76,
36,Slovenia,49.4,-,0.75,
37,Slovakia,49.3,-,0.74,
38,Uruguay,49.1,-,0.74,•
39,Colombia,48.4,-,0.73,
40,Lithuania,48.1,-,0.72,
41,Malta,48.0,-,0.71,
42,Greece,47.9,-,0.71,
43,Hungary,47.2,-,0.70,
44,Malaysia,46.7,-,0.69,
45,Seychelles,46.1,-,0.69,•
46,Morocco,45.9,-,0.68,
47,Poland,45.5,-,0.67,
48,Oman,45.4,-,0.66,
49,Costa Rica,44.7,-,0.66,
50,Croatia,44.6,-,0.65,
51,Kuwait,43.6,-,0.64,
52,Mongolia,43.5,-,0.64,
53,Bulgaria,43.3,-,0.63,
54,Kazakhstan,43.3,-,0.62,
55,Panama,43.1,-,0.61,
56,Serbia,42.6,-,0.61,
57,Sri Lanka,42.4,-,0.60,
58,Romania,42.4,-,0.59,
59,Peru,42.0,-,0.59,
60,Belarus,42.0,-,0.58,
61,Bhutan,41.9,-,0.57,•
62,Cabo Verde,41.0,-,0.56,•
63,Turkey,41.0,-,0.56,
64,Thailand,40.7,-,0.55,
65,Russian Federation,40.6,-,0.54,
66,Mauritius,40.5,-,0.54,
67,Brazil,40.1,-,0.53,
68,"Iran, Islamic Republic of",39.9,-,0.52,
69,Mexico,39.5,-,0.51,
70,Montenegro,39.3,-,0.51,
71,Albania,39.0,-,0.50,
72,Ecuador,39.0,-,0.49,
73,Tunisia,38.4,-,0.49,
74,Argentina,38.2,-,0.48,
75,Cyprus,37.8,-,0.47,
76,Armenia,37.3,-,0.46,
77,Egypt,37.2,-,0.46,
78,Azerbaijan,37.1,-,0.45,
79,Georgia,36.5,-,0.44,
80,Lebanon,36.5,-,0.44,
81,Jordan,36.4,-,0.43,
82,"Moldova, Republic of",36.0,-,0.42,
83,Philippines,35.8,-,0.41,
84,Dominican Republic,35.8,-,0.41,
85,Indonesia,35.6,-,0.40,
86,Botswana,34.8,-,0.39,
87,India,34.6,-,0.39,
88,Viet Nam,33.9,-,0.38,
89,South Africa,33.9,-,0.37,
90,Fiji,32.9,-,0.36,
91,Niger,32.7,-,0.36,
92,El Salvador,32.4,-,0.35,
93,Namibia,32.4,-,0.34,
94,TFYR Macedonia,31.4,-,0.34,
95,Algeria,31.4,-,0.33,
96,Bosnia and Herzegovina,30.9,-,0.32,
97,"Venezuela, Bolivarian Republic of",30.7,-,0.31,
98,Rwanda,29.9,-,0.31,
99,Jamaica,29.6,-,0.30,
100,Barbados,29.2,-,0.29,
