Rank,Country,Score,Value,Percentage Rank,S/W
1,Iceland,72.4,-,1.00,•
2,Luxembourg,69.0,-,0.99,•
3,Switzerland,64.8,-,0.99,•
4,Netherlands,61.9,-,0.98,•
5,United Kingdom,60.5,-,0.97,•
6,Malta,59.8,-,0.96,•
7,Australia,56.5,-,0.96,•
8,Hong Kong (China),55.8,-,0.95,
9,Estonia,55.6,-,0.94,•
10,New Zealand,55.4,-,0.94,
11,Sweden,55.1,-,0.93,
12,Ireland,55.0,-,0.92,
13,Denmark,53.0,-,0.91,
14,Germany,52.8,-,0.91,
15,Finland,52.2,-,0.90,
16,Norway,51.7,-,0.89,
17,Austria,51.3,-,0.89,
18,Canada,50.9,-,0.88,
19,France,50.8,-,0.87,
20,Belgium,50.4,-,0.86,
21,Czech Republic,50.3,-,0.86,
22,Slovenia,49.4,-,0.85,
23,United States of America,47.8,-,0.84,
24,Latvia,46.3,-,0.84,
25,Portugal,45.7,-,0.83,
26,Montenegro,44.6,-,0.82,•
27,Cyprus,44.6,-,0.81,
28,"Korea, Republic of",43.6,-,0.81,
29,Israel,43.6,-,0.80,
30,Saudi Arabia,42.9,-,0.79,•
31,Spain,42.4,-,0.79,
32,Malaysia,42.1,-,0.78,
33,Singapore,41.7,-,0.77,
34,Bulgaria,41.1,-,0.76,
35,Lithuania,41.0,-,0.76,
36,Hungary,40.7,-,0.75,
37,Turkey,40.6,-,0.74,
38,"Moldova, Republic of",40.5,-,0.74,
39,Croatia,40.5,-,0.73,
40,Slovakia,40.4,-,0.72,
41,Seychelles,40.2,-,0.71,•
42,Panama,39.7,-,0.71,
43,Japan,39.6,-,0.70,
44,Guyana,38.9,-,0.69,•
45,Chile,38.6,-,0.69,
46,TFYR Macedonia,37.9,-,0.68,
47,Italy,37.6,-,0.67,
48,Costa Rica,37.6,-,0.66,
49,Greece,37.5,-,0.66,
50,Argentina,36.5,-,0.65,
51,Paraguay,36.3,-,0.64,•
52,Thailand,35.8,-,0.64,
53,Poland,35.4,-,0.63,
54,China,35.1,-,0.62,
55,Armenia,35.1,-,0.61,
56,Mexico,35.0,-,0.61,
57,Mauritius,34.8,-,0.60,
58,Qatar,34.7,-,0.59,
59,Uruguay,34.6,-,0.59,
60,Serbia,34.6,-,0.58,
61,United Arab Emirates,34.6,-,0.57,
62,Viet Nam,34.3,-,0.56,
63,Barbados,33.6,-,0.56,
64,Peru,33.3,-,0.55,
65,Bahrain,33.2,-,0.54,
66,Senegal,33.1,-,0.54,
67,El Salvador,32.7,-,0.53,
68,Cameroon,32.6,-,0.52,•
69,Jordan,32.5,-,0.51,
70,Oman,32.5,-,0.51,
71,Tunisia,32.5,-,0.50,
72,Romania,32.1,-,0.49,
73,Lebanon,31.8,-,0.49,
74,Mongolia,31.3,-,0.48,
75,Ukraine,31.3,-,0.47,
76,South Africa,31.1,-,0.46,
77,Colombia,31.0,-,0.46,
78,Indonesia,30.8,-,0.45,
79,Russian Federation,30.1,-,0.44,
80,Namibia,29.7,-,0.44,
81,"Tanzania, United Republic of",29.7,-,0.43,
82,Brazil,29.6,-,0.42,
83,Dominican Republic,29.4,-,0.41,
84,"Bolivia, Plurinational State of",29.4,-,0.41,
85,Kenya,29.1,-,0.40,
86,Kuwait,28.9,-,0.39,
