Rank,Country,Score,Value,Percentage Rank,S/W
1,Singapore,63.1,-,1.00,•
2,Luxembourg,60.3,-,0.99,•
3,Switzerland,60.0,-,0.99,•
4,Finland,58.8,-,0.98,
5,Ireland,58.4,-,0.97,•
6,Guyana,57.5,-,0.96,•
7,Sweden,56.9,-,0.96,
8,Fiji,56.5,-,0.95,•
9,United States of America,55.4,-,0.94,
10,Netherlands,55.3,-,0.94,
11,Israel,54.1,-,0.93,
12,Barbados,53.8,-,0.92,•
13,United Kingdom,53.6,-,0.91,
14,Belgium,51.0,-,0.91,•
15,Hong Kong (China),51.0,-,0.90,
16,Japan,50.4,-,0.89,
17,Denmark,49.7,-,0.89,
18,Canada,49.3,-,0.88,
19,France,49.3,-,0.87,
20,Germany,49.2,-,0.86,
21,Seychelles,48.4,-,0.86,•
22,Malaysia,47.5,-,0.85,
23,Australia,47.5,-,0.84,
24,Austria,47.0,-,0.84,
25,Iceland,46.4,-,0.83,
26,New Zealand,45.8,-,0.82,
27,Norway,45.8,-,0.81,
28,Czech Republic,45.3,-,0.81,
29,United Arab Emirates,45.2,-,0.80,
30,"Korea, Republic of",45.2,-,0.79,
31,China,44.9,-,0.79,
32,Malawi,43.7,-,0.78,•
33,Estonia,43.4,-,0.77,
34,Swaziland,42.9,-,0.76,•
35,Slovenia,42.1,-,0.76,
36,Mozambique,41.9,-,0.75,•
37,Brazil,41.6,-,0.74,
38,Malta,40.8,-,0.74,
39,Italy,40.6,-,0.73,
40,Viet Nam,40.5,-,0.72,
41,Bosnia and Herzegovina,40.1,-,0.71,
42,Costa Rica,39.4,-,0.71,
43,Cyprus,39.2,-,0.70,
44,Russian Federation,38.5,-,0.69,
45,Rwanda,38.3,-,0.69,•
46,Latvia,38.3,-,0.68,
47,Spain,38.2,-,0.67,
48,Bahrain,38.1,-,0.66,
49,Uganda,38.0,-,0.66,•
50,Croatia,37.9,-,0.65,
51,Chile,37.7,-,0.64,
52,Burkina Faso,37.4,-,0.64,•
53,Gambia,37.4,-,0.63,•
54,Thailand,37.3,-,0.62,
55,Mongolia,36.9,-,0.61,
56,Mexico,36.9,-,0.61,
57,Hungary,36.8,-,0.60,
58,Slovakia,36.7,-,0.59,
59,Lithuania,36.5,-,0.59,
60,Bulgaria,36.4,-,0.58,
61,Argentina,36.3,-,0.57,
62,TFYR Macedonia,35.9,-,0.56,
63,Colombia,35.8,-,0.56,
64,Saudi Arabia,35.8,-,0.55,
65,Portugal,35.3,-,0.54,
66,Poland,35.2,-,0.54,
67,Romania,34.7,-,0.53,
68,Guatemala,34.5,-,0.52,
69,Panama,34.5,-,0.51,
70,Niger,34.4,-,0.51,•
71,Montenegro,34.0,-,0.50,
72,Honduras,34.0,-,0.49,
73,South Africa,34.0,-,0.49,
74,Cambodia,33.3,-,0.48,
